system,dataset,attack,condition,metric,value,notes
in_memory_simulator,synthetic_multisession,dataset_summary,large_synthetic,users,20,
in_memory_simulator,synthetic_multisession,dataset_summary,large_synthetic,sessions,60,
in_memory_simulator,synthetic_multisession,dataset_summary,large_synthetic,nodes,134,
in_memory_simulator,synthetic_multisession,dataset_summary,large_synthetic,edges,159,
in_memory_simulator,synthetic_multisession,cross_session_probe,baseline,leaked_edge_count,3,
in_memory_simulator,synthetic_multisession,cross_session_probe,baseline,unique_leaked_edge_count,3,
in_memory_simulator,synthetic_multisession,cross_session_probe,baseline,leakage_event_count,3,
in_memory_simulator,synthetic_multisession,cross_session_probe,baseline,leakage_rate,0.0323,
in_memory_simulator,synthetic_multisession,cross_session_probe,strict_guard,leaked_edge_count,0,
in_memory_simulator,synthetic_multisession,cross_session_probe,strict_guard,leakage_reduction,1.0,
in_memory_simulator,synthetic_multisession,session_graph_link,structure_only,top_1_hit,True,
in_memory_simulator,synthetic_multisession,session_graph_link,structure_only,top_score,1.0,
in_memory_simulator,synthetic_multisession,temporal_path_infer,baseline,inferred_edge_count,23,
in_memory_simulator,synthetic_multisession,budget_curve,budget_0,victim_leaked_edges,0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_0,utility_retention_rate,0.0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_1,victim_leaked_edges,0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_1,utility_retention_rate,0.0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_2,victim_leaked_edges,0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_2,utility_retention_rate,0.0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_5,victim_leaked_edges,0,
in_memory_simulator,synthetic_multisession,budget_curve,budget_5,utility_retention_rate,1.0,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_0.1,victim_leaked_edges_mean,1,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_0.1,victim_leaked_edges_std,0.9826,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_0.1,utility_retention_mean,1.0,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_1.0,victim_leaked_edges_mean,1.7667,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_1.0,victim_leaked_edges_std,1.1943,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_1.0,utility_retention_mean,1.0,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_3.0,victim_leaked_edges_mean,2.7333,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_3.0,victim_leaked_edges_std,0.6397,
in_memory_simulator,synthetic_multisession,edge_admission,epsilon_3.0,utility_retention_mean,1.0,
privacyguard-docker,seed_records,CrossSessionProbe,baseline,leaked_edge_count,5,
privacyguard-docker,seed_records,CrossSessionProbe,baseline,leakage_event_count,15,
privacyguard-docker,seed_records,CrossSessionProbe,strict_guard,leaked_edge_count,0,
privacyguard-docker,seed_records,CrossSessionProbe,strict_guard,leakage_reduction,1.0,Strict provenance/session isolation blocks cross-session retrieval.
privacyguard-docker,sample_dialogues,CrossSessionProbe,baseline,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,total_leaked_edges,0,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,leakage_reduction,1.0,
privacyguard-docker,sample_dialogues,CrossSessionProbe,baseline,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,defense_framing,strict_provenance_session_isolation,Default GraphMemGuard blocks cross-session retrieval before graph expansion.
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,query_count,12,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,leakage_event_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,query_count,24,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,leakage_event_count,88,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,leakage_event_count,132,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,leakage_event_count,132,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,evaluated_users,6,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,top1_accuracy,0.3333333333333333,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,top3_accuracy,1.0,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,mean_reciprocal_rank,0.611111111111111,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,evaluated_users,6,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,top1_accuracy,0.3333333333333333,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,top3_accuracy,1.0,
