system,dataset,experiment,condition,metric,value
graphmemshield,enron_communication_graph,dataset,enron_maildir,source_mode,enron_style_fixture
graphmemshield,enron_communication_graph,dataset,enron_maildir,source_path,/Users/phatttt/Documents/Claude/Projects/GraphMemShield/data/enron_style_maildir
graphmemshield,enron_communication_graph,dataset,enron_maildir,records,160
graphmemshield,enron_communication_graph,dataset,enron_maildir,users,6
graphmemshield,enron_communication_graph,dataset,enron_maildir,sessions,160
graphmemshield,enron_communication_graph,dataset,enron_maildir,nodes,179
graphmemshield,enron_communication_graph,dataset,enron_maildir,edges,447
graphmemshield,enron_communication_graph,communication_graph_probe,baseline,queries,8
graphmemshield,enron_communication_graph,communication_graph_probe,baseline,leaked_edges,3
graphmemshield,enron_communication_graph,communication_graph_probe,baseline,leakage_events,24
graphmemshield,enron_communication_graph,communication_graph_probe,budget_0,leaked_edges,0
graphmemshield,enron_communication_graph,communication_graph_probe,budget_0,utility_retention,0.0083
graphmemshield,enron_communication_graph,communication_graph_probe,budget_1,leaked_edges,1
graphmemshield,enron_communication_graph,communication_graph_probe,budget_1,utility_retention,0.0083
graphmemshield,enron_communication_graph,communication_graph_probe,budget_2,leaked_edges,2
graphmemshield,enron_communication_graph,communication_graph_probe,budget_2,utility_retention,0.0083
graphmemshield,enron_communication_graph,communication_graph_probe,budget_5,leaked_edges,2
graphmemshield,enron_communication_graph,communication_graph_probe,budget_5,utility_retention,0.0083
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_template,lexical_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_template,semantic_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_template,lexical_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_template,semantic_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_evidence_dump,lexical_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_evidence_dump,semantic_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_evidence_dump,lexical_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,baseline_evidence_dump,semantic_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_template,lexical_edges,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_template,semantic_edges,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_template,lexical_terms,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_template,semantic_terms,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_evidence_dump,lexical_edges,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_evidence_dump,semantic_edges,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_evidence_dump,lexical_terms,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_0_evidence_dump,semantic_terms,0
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_template,lexical_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_template,semantic_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_template,lexical_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_template,semantic_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_evidence_dump,lexical_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_evidence_dump,semantic_edges,2
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_evidence_dump,lexical_terms,5
graphmemshield,enron_communication_graph,semantic_response_leakage,budget_5_evidence_dump,semantic_terms,5
