system,dataset,experiment,condition,metric,value
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,trace_mode,user_supplied_production_jsonl
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,approved_internal_deployment_trace,True
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,source_path,/Users/phatttt/Documents/Claude/Projects/GraphMemShield/output/internal_tracekg_rag_openai_graphmemshield.jsonl
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,records,300
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,users,1
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,sessions,60
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,nodes,358
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,edges,2100
live_http_agent_memory,deployed_graphrag_trace,backend,deployed_http_agent_memory,sqlite_path,/Users/phatttt/Documents/Claude/Projects/GraphMemShield/output/deployed_graphrag_trace.sqlite
live_http_agent_memory,deployed_graphrag_trace,backend,deployed_http_agent_memory,http_service,http://127.0.0.1:56136
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,retrieved_edges,9900
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,unique_retrieved_edges,2100
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,leaked_edges,35
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,leakage_events,165
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,per_query_leak_rate,1.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,retrieved_edges,140
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,unique_retrieved_edges,35
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,leakage_events,0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,per_query_leak_rate,0.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,retrieved_edges,6600
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,unique_retrieved_edges,1560
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,leaked_edges,26
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,leakage_events,110
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,per_query_leak_rate,1.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,retrieved_edges,6630
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,unique_retrieved_edges,1569
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,leaked_edges,26
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,leakage_events,110
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,per_query_leak_rate,1.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,retrieved_edges,435
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,unique_retrieved_edges,330
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,leakage_events,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,per_query_leak_rate,0.125
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,retrieved_edges,730
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,unique_retrieved_edges,330
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,leakage_events,10
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,per_query_leak_rate,0.25
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,response_chars,107599
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,leaked_edges,35
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,leaked_terms,46
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,response_chars,2073
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,response_chars,76969
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,leaked_edges,26
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,leaked_terms,37
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,response_chars,77746
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,leaked_edges,26
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,leaked_terms,37
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,response_chars,16284
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,leaked_terms,20
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,response_chars,16284
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,leaked_terms,20
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,response_chars,1241
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,leaked_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,leaked_terms,38
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,response_chars,265
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,leaked_edges,15
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,leaked_terms,20
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,response_chars,3722
