system,dataset,attack,condition,metric,value,notes
privacyguard-docker,sample_dialogues,CrossSessionProbe,baseline,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,total_leaked_edges,0,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,leakage_reduction,1.0,
privacyguard-docker,sample_dialogues,CrossSessionProbe,baseline,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,strict_guard,defense_framing,strict_provenance_session_isolation,Default GraphMemGuard blocks cross-session retrieval before graph expansion.
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,query_count,12,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_1,leakage_event_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,query_count,24,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_2,leakage_event_count,88,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_4,leakage_event_count,132,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,total_leaked_edges,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,query_count,48,
privacyguard-docker,sample_dialogues,CrossSessionProbe,query_budget_all,leakage_event_count,132,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,evaluated_users,6,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,top1_accuracy,0.3333333333333333,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,top3_accuracy,1.0,
privacyguard-docker,sample_dialogues,SessionGraphLink,structure_only,mean_reciprocal_rank,0.611111111111111,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,evaluated_users,6,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,top1_accuracy,0.3333333333333333,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,top3_accuracy,1.0,
privacyguard-docker,sample_dialogues,SessionGraphLink,semantic_labels,mean_reciprocal_rank,0.6666666666666666,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,evaluated_sessions,12,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,average_ordering_accuracy,0.5,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,pairwise_ordering_accuracy,1.0,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_precision,0.4924603174603175,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_recall,1.0,
privacyguard-docker,sample_dialogues,TemporalPathInfer,timestamp_order,edge_f1,0.6562998405103669,
