system,dataset,experiment,condition,metric,value
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,trace_mode,public_multiwoz_proxy
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,approved_internal_deployment_trace,False
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,source_path,/Users/phatttt/Documents/Claude/Projects/GraphMemShield/data/multiwoz_2_1_sample.jsonl
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,records,6613
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,users,955
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,sessions,955
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,nodes,2708
live_http_agent_memory,deployed_graphrag_trace,dataset,deployed_http_agent_memory,edges,36408
live_http_agent_memory,deployed_graphrag_trace,backend,deployed_http_agent_memory,sqlite_path,/Users/phatttt/Documents/Claude/Projects/GraphMemShield/output/deployed_graphrag_trace.sqlite
live_http_agent_memory,deployed_graphrag_trace,backend,deployed_http_agent_memory,http_service,http://127.0.0.1:56404
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,retrieved_edges,270662
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,unique_retrieved_edges,36259
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,leaked_edges,67
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,leakage_events,536
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,global,per_query_leak_rate,1.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,retrieved_edges,225
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,unique_retrieved_edges,45
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,leakage_events,0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_only,per_query_leak_rate,0.0
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,retrieved_edges,183235
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,unique_retrieved_edges,33103
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,leaked_edges,58
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,leakage_events,348
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,label_only,per_query_leak_rate,0.75
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,retrieved_edges,183235
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,unique_retrieved_edges,33103
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,leaked_edges,58
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,leakage_events,348
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_label,per_query_leak_rate,0.75
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,retrieved_edges,4864
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,unique_retrieved_edges,4652
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,leakage_events,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,bounded5,per_query_leak_rate,0.125
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,queries,8
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,retrieved_edges,23349
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,unique_retrieved_edges,4652
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,leakage_events,30
live_http_agent_memory,deployed_graphrag_trace,http_cross_session_probe,owner_level_budget,per_query_leak_rate,0.75
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,response_chars,1652059
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,leaked_edges,67
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,global,leaked_terms,23
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,response_chars,1890
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_only,leaked_terms,0
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,response_chars,1482249
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,leaked_edges,58
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,label_only,leaked_terms,21
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,response_chars,1482249
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,leaked_edges,58
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_label,leaked_terms,21
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,response_chars,216841
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,bounded5,leaked_terms,11
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,response_chars,216841
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,leaked_edges,5
live_http_agent_memory,deployed_graphrag_trace,http_blackbox_response,owner_level_budget,leaked_terms,11
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,response_chars,1110
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,leaked_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_template,leaked_terms,18
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,response_chars,234
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_local_abstractive,leaked_terms,10
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,response_chars,3528
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,leaked_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_evidence_dump,leaked_terms,18
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,response_chars,247
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,leaked_edges,0
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,global_openai,leaked_terms,5
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,status,ok
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,context_edges,24
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,response_chars,1039
live_http_agent_memory,deployed_graphrag_trace,http_generator_response,owner_only_template,leaked_edges,0
